Date,Ticker,Stock_qty,Stock_buy_price,Stock_close_price,Option_strike,Option_expiry,Option_qty,Option_sell_price,Option_ask_price,Stock_unrealized,Option_unrealized,Total_unrealized,Stock_realized,Option_realized,Total_realized
2025-09-19,AAPL,0,0,245.5,242.5,2025-09-19,0,0,0,0,0,0,748.8,126.0,874.8
2025-09-22,AAPL,230.0,248.34,256.08,265.0,2025-09-26,-200.0,0.58,0.59,1780.2,-2.0,1778.2,0,0,0
2025-09-23,AAPL,230,248.34,254.43,265.0,2025-09-26,-200,0.58,0.19,1400.7,78.0,1478.7,0,0,0
2025-09-24,AAPL,230,248.34,252.31,265.0,2025-09-26,-200,0.58,0.06,913.1,104.0,1017.1,0,0,0
2025-09-25,AAPL,230,248.34,256.87,265.0,2025-09-26,-200,0.58,0.08,1961.9,100.0,2061.9,0,0,0
2025-09-26,AAPL,230,248.34,255.46,265.0,2025-09-26,0,0,0,1637.6,0,1637.6,0,116.0,116.0
2025-09-29,AAPL,230,248.34,254.43,262.5,2025-10-03,-200.0,0.36,0.37,1400.7,-2.0,1398.7,0,0,0
2025-09-30,AAPL,230,248.34,254.63,262.5,2025-10-03,-200,0.36,0.22,1446.7,28.0,1474.7,0,0,0
2025-10-01,AAPL,230,248.34,255.45,262.5,2025-10-03,-200,0.36,0.22,1635.3,28.0,1663.3,0,0,0
2025-10-02,AAPL,230,248.34,257.13,262.5,2025-10-03,-200,0.36,0.13,2021.7,46.0,2067.7,0,0,0
2025-10-03,AAPL,230,248.34,258.02,262.5,2025-10-03,0,0,0,2226.4,0,2226.4,0,72.0,72.0
2025-10-06,AAPL,230,248.34,256.69,265.0,2025-10-10,-200.0,0.46,0.48,1920.5,-4.0,1916.5,0,0,0
2025-10-07,AAPL,230,248.34,256.48,265.0,2025-10-10,-200,0.46,0.21,1872.2,50.0,1922.2,0,0,0
2025-10-08,AAPL,230,248.34,258.06,265.0,2025-10-10,-200,0.46,0.17,2235.6,58.0,2293.6,0,0,0
2025-10-09,AAPL,230,248.34,254.04,265.0,2025-10-10,-200,0.46,0.04,1311.0,84.0,1395.0,0,0,0
2025-10-10,AAPL,230,248.34,245.27,265.0,2025-10-10,0,0,0,-706.1,0,-706.1,0,92.0,92.0
2025-10-13,AAPL,230,248.34,247.66,255.0,2025-10-17,-200.0,0.55,0.56,-156.4,-2.0,-158.4,0,0,0
2025-10-14,AAPL,230,248.34,247.77,255.0,2025-10-17,-200,0.55,0.45,-131.1,20.0,-111.1,0,0,0
2025-10-15,AAPL,230,248.34,249.34,255.0,2025-10-17,-200,0.55,0.36,230.0,38.0,268.0,0,0,0
2025-10-16,AAPL,230,248.34,247.45,255.0,2025-10-17,-200,0.55,0.06,-204.7,98.0,-106.7,0,0,0
2025-10-17,AAPL,230,248.34,252.29,255.0,2025-10-17,0,0,0,908.5,0,908.5,0,110.0,110.0
2025-10-20,AAPL,230,248.34,262.24,270.0,2025-10-24,-200.0,0.71,0.73,3197.0,-4.0,3193.0,0,0,0
2025-10-21,AAPL,230,248.34,262.77,270.0,2025-10-24,-200,0.71,0.45,3318.9,52.0,3370.9,0,0,0
2025-10-22,AAPL,230,248.34,258.45,270.0,2025-10-24,-200,0.71,0.08,2325.3,126.0,2451.3,0,0,0
2025-10-23,AAPL,230,248.34,259.58,270.0,2025-10-24,-200,0.71,0.02,2585.2,138.0,2723.2,0,0,0
2025-10-24,AAPL,230,248.34,262.82,270.0,2025-10-24,0,0,0,3330.4,0,3330.4,0,142.0,142.0
2025-10-27,AAPL,230,248.34,268.81,282.5,2025-10-31,-200.0,1.07,1.09,4708.1,-4.0,4704.1,0,0,0
2025-10-28,AAPL,230,248.34,269.0,282.5,2025-10-31,-200,1.07,0.92,4751.8,30.0,4781.8,0,0,0
2025-10-29,AAPL,230,248.34,269.7,282.5,2025-10-31,-200,1.07,1.13,4912.8,-12.0,4900.8,0,0,0
2025-10-30,AAPL,230,248.34,271.4,282.5,2025-10-31,-200,1.07,0.87,5303.8,40.0,5343.8,0,0,0
2025-10-31,AAPL,230,248.34,270.37,282.5,2025-10-31,0,0,0,5066.9,0,5066.9,0,214.0,214.0
2025-11-03,AAPL,230,248.34,269.05,277.5,2025-11-07,-200.0,0.41,0.43,4763.3,-4.0,4759.3,0,0,0
2025-11-04,AAPL,230,248.34,270.04,277.5,2025-11-07,-200,0.41,0.46,4991.0,-10.0,4981.0,0,0,0
2025-11-05,AAPL,230,248.34,270.14,277.5,2025-11-07,-200,0.41,0.21,5014.0,40.0,5054.0,0,0,0
2025-11-06,AAPL,230,248.34,269.77,277.5,2025-11-07,-200,0.41,0.06,4928.9,70.0,4998.9,0,0,0
2025-11-07,AAPL,230,248.34,268.47,277.5,2025-11-07,0,0,0,4629.9,0,4629.9,0,82.0,82.0
2025-11-10,AAPL,230,248.34,269.43,277.5,2025-11-14,-200.0,0.35,0.37,4850.7,-4.0,4846.7,0,0,0
2025-11-11,AAPL,230,248.34,275.25,277.5,2025-11-14,-200,0.35,1.4,6189.3,-210.0,5979.3,0,0,0
2025-11-12,AAPL,230,248.34,273.47,277.5,2025-11-14,-200,0.35,0.54,5779.9,-38.0,5741.9,0,0,0
2025-11-13,AAPL,230,248.34,272.95,277.5,2025-11-14,-200,0.35,0.18,5660.3,34.0,5694.3,0,0,0
2025-11-14,AAPL,230,248.34,272.41,277.5,2025-11-14,0,0,0,5536.1,0,5536.1,0,70.0,70.0
2025-11-17,AAPL,230,248.34,267.46,277.5,2025-11-21,-200.0,0.28,0.3,4397.6,-4.0,4393.6,0,0,0
2025-11-18,AAPL,230,248.34,267.44,277.5,2025-11-21,-200,0.28,0.24,4393.0,8.0,4401.0,0,0,0
2025-11-19,AAPL,230,248.34,268.56,277.5,2025-11-21,-200,0.28,0.2,4650.6,16.0,4666.6,0,0,0
2025-11-20,AAPL,230,248.34,266.25,277.5,2025-11-21,-200,0.28,0.03,4119.3,50.0,4169.3,0,0,0
2025-11-21,AAPL,230,248.34,271.49,277.5,2025-11-21,0,0,0,5324.5,0,5324.5,0,56.0,56.0
2025-11-24,AAPL,230,248.34,275.92,282.5,2025-11-28,-200.0,0.31,0.29,6343.4,4.0,6347.4,0,0,0
2025-11-25,AAPL,230,248.34,276.97,282.5,2025-11-28,-200,0.31,0.22,6584.9,18.0,6602.9,0,0,0
2025-11-26,AAPL,230,248.34,277.55,282.5,2025-11-28,-200,0.31,0.06,6718.3,50.0,6768.3,0,0,0
2025-11-28,AAPL,230,248.34,278.85,282.5,2025-11-28,0,0,0,7017.3,0,7017.3,0,62.0,62.0
2025-12-01,AAPL,230,248.34,283.1,290.0,2025-12-05,-200.0,0.46,0.49,7994.8,-6.0,7988.8,0,0,0
2025-12-02,AAPL,230,248.34,286.19,290.0,2025-12-05,-200,0.46,0.71,8705.5,-50.0,8655.5,0,0,0
2025-12-03,AAPL,230,248.34,284.15,290.0,2025-12-05,-200,0.46,0.16,8236.3,60.0,8296.3,0,0,0
2025-12-04,AAPL,230,248.34,280.7,290.0,2025-12-05,-200,0.46,0.02,7442.8,88.0,7530.8,0,0,0
2025-12-05,AAPL,230,248.34,278.78,290.0,2025-12-05,0,0,0,7001.2,0,7001.2,0,92.0,92.0
2025-12-08,AAPL,230,248.34,277.89,285.0,2025-12-12,-200.0,0.46,0.47,6796.5,-2.0,6794.5,0,0,0
2025-12-09,AAPL,230,248.34,277.18,285.0,2025-12-12,-200,0.46,0.24,6633.2,44.0,6677.2,0,0,0
2025-12-10,AAPL,230,248.34,278.78,285.0,2025-12-12,-200,0.46,0.16,7001.2,60.0,7061.2,0,0,0
2025-12-11,AAPL,230,248.34,278.03,285.0,2025-12-12,-200,0.46,0.03,6828.7,86.0,6914.7,0,0,0
2025-12-12,AAPL,230,248.34,278.28,285.0,2025-12-12,0,0,0,6886.2,0,6886.2,0,92.0,92.0
2025-12-15,AAPL,230,248.34,274.11,282.5,2025-12-19,-200.0,0.3,0.32,5927.1,-4.0,5923.1,0,0,0
2025-12-16,AAPL,230,248.34,274.61,282.5,2025-12-19,-200,0.3,0.19,6042.1,22.0,6064.1,0,0,0
2025-12-17,AAPL,230,248.34,271.84,282.5,2025-12-19,-200,0.3,0.06,5405.0,48.0,5453.0,0,0,0
2025-12-18,AAPL,230,248.34,272.19,282.5,2025-12-19,-200,0.3,0.01,5485.5,58.0,5543.5,0,0,0
2025-12-19,AAPL,230,248.34,273.67,282.5,2025-12-19,0,0,0,5825.9,0,5825.9,0,60.0,60.0
2025-12-22,AAPL,230,248.34,270.97,275.0,2025-12-26,-200.0,0.38,0.39,5204.9,-2.0,5202.9,0,0,0
2025-12-23,AAPL,230,248.34,272.36,275.0,2025-12-26,-200,0.38,0.35,5524.6,6.0,5530.6,0,0,0
2025-12-24,AAPL,230,248.34,273.81,275.0,2025-12-26,-200,0.38,0.52,5858.1,-28.0,5830.1,0,0,0
2025-12-26,AAPL,230,248.34,273.4,275.0,2025-12-26,0,0,0,5763.8,0,5763.8,0,76.0,76.0
2025-12-29,AAPL,230,248.34,273.76,277.5,2026-01-02,-200.0,0.45,0.49,5846.6,-8.0,5838.6,0,0,0
2025-12-30,AAPL,230,248.34,273.08,277.5,2026-01-02,-200,0.45,0.19,5690.2,52.0,5742.2,0,0,0
2025-12-31,AAPL,230,248.34,271.86,277.5,2026-01-02,-200,0.45,0.06,5409.6,78.0,5487.6,0,0,0
2026-01-02,AAPL,230,248.34,271.01,277.5,2026-01-02,0,0,0,5214.1,0,5214.1,0,90.0,90.0
2026-01-05,AAPL,230,248.34,267.26,275.0,2026-01-09,-200.0,0.26,0.27,4351.6,-2.0,4349.6,0,0,0
2026-01-06,AAPL,230,248.34,262.36,275.0,2026-01-09,-200,0.26,0.09,3224.6,34.0,3258.6,0,0,0
2026-01-07,AAPL,230,248.34,260.33,275.0,2026-01-09,-200,0.26,0.04,2757.7,44.0,2801.7,0,0,0
2026-01-08,AAPL,230,248.34,259.04,275.0,2026-01-09,-200,0.26,0.04,2461.0,44.0,2505.0,0,0,0
2026-01-09,AAPL,230,248.34,259.37,275.0,2026-01-09,0,0,0,2536.9,0,2536.9,0,52.0,52.0
2026-01-12,AAPL,230,248.34,260.25,267.5,2026-01-16,-200.0,0.63,0.65,2739.3,-4.0,2735.3,0,0,0
2026-01-13,AAPL,230,248.34,261.05,267.5,2026-01-16,-200,0.63,0.49,2923.3,28.0,2951.3,0,0,0
2026-01-14,AAPL,230,248.34,259.96,267.5,2026-01-16,-200,0.63,0.23,2672.6,80.0,2752.6,0,0,0
2026-01-15,AAPL,230,248.34,258.21,267.5,2026-01-16,-200,0.63,0.04,2270.1,118.0,2388.1,0,0,0
2026-01-16,AAPL,230,248.34,255.53,267.5,2026-01-16,0,0,0,1653.7,0,1653.7,0,126.0,126.0
2026-01-20,AAPL,230,248.34,246.7,255.0,2026-01-23,-200.0,0.4,0.45,-377.2,-10.0,-387.2,0,0,0
2026-01-21,AAPL,230,248.34,247.65,255.0,2026-01-23,-200,0.4,0.21,-158.7,38.0,-120.7,0,0,0
2026-01-22,AAPL,230,248.34,248.35,255.0,2026-01-23,-200,0.4,0.08,2.3,64.0,66.3,0,0,0
2026-01-23,AAPL,230,248.34,248.04,255.0,2026-01-23,0,0,0,-69.0,0,-69.0,0,80.0,80.0
2026-01-26,AAPL,230,248.34,255.41,270.0,2026-01-30,-200.0,0.86,0.88,1626.1,-4.0,1622.1,0,0,0
2026-01-27,AAPL,230,248.34,258.27,270.0,2026-01-30,-200,0.86,1.06,2283.9,-40.0,2243.9,0,0,0
2026-01-28,AAPL,230,248.34,256.44,270.0,2026-01-30,-200,0.86,0.85,1863.0,2.0,1865.0,0,0,0
2026-01-29,AAPL,230,248.34,258.28,270.0,2026-01-30,-200,0.86,1.48,2286.2,-124.0,2162.2,0,0,0
2026-01-30,AAPL,230,248.34,259.48,270.0,2026-01-30,0,0,0,2562.2,0,2562.2,0,172.0,172.0
2026-02-02,AAPL,230,248.34,270.01,275.0,2026-02-04,-200.0,0.48,0.51,4984.1,-6.0,4978.1,0,0,0
2026-02-03,AAPL,230,248.34,269.48,275.0,2026-02-04,-200,0.48,0.14,4862.2,68.0,4930.2,0,0,0
2026-02-04,AAPL,0,0,276.49,275.0,2026-02-04,0,0,0,0,0,0,6131.8,96.0,6227.8
2026-02-05,AAPL,234.0,278.02,275.91,280.0,2026-02-06,-200.0,0.49,0.51,-493.74,-4.0,-497.74,0,0,0
2026-02-06,AAPL,234,278.02,278.12,280.0,2026-02-06,0,0,0,23.4,0,23.4,0,98.0,98.0
2026-02-09,AAPL,234,278.02,274.62,280.0,2026-02-11,-200.0,0.37,0.4,-795.6,-6.0,-801.6,0,0,0
2026-02-10,AAPL,234,278.02,273.68,280.0,2026-02-11,-200,0.37,0.1,-1015.56,54.0,-961.56,0,0,0
2026-02-11,AAPL,234,278.02,275.5,280.0,2026-02-11,0,0,0,-589.68,0,-589.68,0,74.0,74.0
2026-02-12,AAPL,234,278.02,261.73,267.5,2026-02-13,-200.0,0.45,0.49,-3811.86,-8.0,-3819.86,0,0,0
2026-02-13,AAPL,234,278.02,255.78,267.5,2026-02-13,0,0,0,-5204.16,0,-5204.16,0,90.0,90.0
2026-02-17,AAPL,234,278.02,263.88,267.5,2026-02-18,-200.0,0.46,0.49,-3308.76,-6.0,-3314.76,0,0,0
2026-02-18,AAPL,234,278.02,264.35,267.5,2026-02-18,0,0,0,-3198.78,0,-3198.78,0,92.0,92.0
2026-02-19,AAPL,234,278.02,260.58,265.0,2026-02-20,-200.0,0.31,0.34,-4080.96,-6.0,-4086.96,0,0,0
2026-02-20,AAPL,234,278.02,264.58,265.0,2026-02-20,0,0,0,-3144.96,0,-3144.96,0,62.0,62.0
2026-02-23,AAPL,234,278.02,266.18,272.5,2026-02-25,-200.0,0.35,0.38,-2770.56,-6.0,-2776.56,0,0,0
2026-02-24,AAPL,234,278.02,272.14,272.5,2026-02-25,-200,0.35,1.64,-1375.92,-258.0,-1633.92,0,0,0
2026-02-25,AAPL,0,0,274.23,272.5,2026-02-25,0,0,0,0,0,0,-1291.68,70.0,-1221.68
2026-02-26,AAPL,234.0,274.95,272.95,275.0,2026-02-27,-200.0,0.7,0.73,-468.0,-6.0,-474.0,0,0,0
2026-02-27,AAPL,234,274.95,264.18,275.0,2026-02-27,0,0,0,-2520.18,0,-2520.18,0,140.0,140.0
